epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5120.31,1.07045,1.40111,1.24562,0.55545,0.56733,0.57906,0.41229,1.19634,1.50901,1.32183,0.000174665,0.000174665,0.000174665
43,5236.48,1.05445,1.35797,1.23729,0.5152,0.55308,0.5487,0.39044,1.1997,1.55581,1.33884,0.000171755,0.000171755,0.000171755
44,5352.38,1.06566,1.3696,1.23364,0.50568,0.64001,0.59599,0.42448,1.20715,1.50683,1.34083,0.000168844,0.000168844,0.000168844
45,5468.26,1.06071,1.36089,1.24221,0.51385,0.65077,0.5957,0.41788,1.20126,1.48696,1.33382,0.000165934,0.000165934,0.000165934
46,5584.05,1.06352,1.33914,1.2358,0.50454,0.60608,0.57754,0.41597,1.20204,1.44079,1.33533,0.000163023,0.000163023,0.000163023
47,5700.11,1.0375,1.30965,1.22422,0.55709,0.62895,0.60775,0.43551,1.19741,1.51193,1.34267,0.000160112,0.000160112,0.000160112
48,5987.4,1.04895,1.29327,1.23001,0.54473,0.57798,0.59428,0.4258,1.1881,1.53236,1.3286,0.000157202,0.000157202,0.000157202
49,6105.44,1.05431,1.31811,1.22761,0.57479,0.5567,0.58818,0.41162,1.2101,1.47389,1.34214,0.000154291,0.000154291,0.000154291
50,6222.02,1.04819,1.29072,1.21692,0.52761,0.63429,0.61682,0.43729,1.20174,1.42185,1.33221,0.000151381,0.000151381,0.000151381
51,6338.69,1.04707,1.26161,1.21164,0.60103,0.58885,0.60715,0.43309,1.20998,1.45055,1.34681,0.00014847,0.00014847,0.00014847
52,6455.27,1.0454,1.258,1.22317,0.59356,0.5592,0.59849,0.42074,1.20972,1.48375,1.34531,0.000145559,0.000145559,0.000145559
53,6571.96,1.03481,1.23007,1.21066,0.57421,0.54415,0.57161,0.40931,1.20284,1.50476,1.3391,0.000142649,0.000142649,0.000142649
54,6688.38,1.02626,1.21935,1.2075,0.61147,0.59507,0.60196,0.42955,1.2033,1.45061,1.34946,0.000139738,0.000139738,0.000139738
55,6804.44,1.02492,1.22014,1.20708,0.5141,0.64056,0.58188,0.41278,1.20502,1.52493,1.33478,0.000136828,0.000136828,0.000136828
56,6920.58,1.03117,1.19914,1.20906,0.52257,0.60818,0.60112,0.42654,1.19234,1.44738,1.32164,0.000133917,0.000133917,0.000133917
57,7036.58,1.03344,1.20235,1.21347,0.58542,0.54754,0.59082,0.41327,1.20946,1.51526,1.34564,0.000131006,0.000131006,0.000131006
58,7152.85,1.03665,1.20193,1.21796,0.49646,0.65518,0.5883,0.4157,1.22991,1.49138,1.35417,0.000128096,0.000128096,0.000128096
59,7268.99,1.01871,1.17147,1.20219,0.51921,0.60007,0.59164,0.41428,1.20906,1.44731,1.34612,0.000125185,0.000125185,0.000125185
60,7384.99,1.00429,1.17493,1.19625,0.49364,0.70823,0.58458,0.41666,1.20532,1.44334,1.33629,0.000122275,0.000122275,0.000122275
61,7501.03,1.02007,1.18975,1.20321,0.52606,0.60393,0.59253,0.41724,1.20032,1.42808,1.33063,0.000119364,0.000119364,0.000119364
62,7617.04,1.01462,1.1397,1.19415,0.5573,0.60073,0.60919,0.43434,1.20035,1.51077,1.32713,0.000116453,0.000116453,0.000116453
63,7733.26,1.00212,1.13675,1.2013,0.52193,0.59465,0.57348,0.40522,1.21515,1.49446,1.35117,0.000113543,0.000113543,0.000113543
64,7912.03,0.99126,1.10524,1.18468,0.55881,0.56476,0.59067,0.41184,1.19971,1.48154,1.33124,0.000110632,0.000110632,0.000110632
65,8028.54,0.99552,1.12316,1.19203,0.54597,0.61843,0.59183,0.41394,1.21361,1.4852,1.33855,0.000107722,0.000107722,0.000107722
66,8145.01,0.99415,1.12206,1.19197,0.54591,0.57875,0.57575,0.40653,1.22024,1.47424,1.35296,0.000104811,0.000104811,0.000104811
67,8261.37,0.98959,1.1177,1.19013,0.52806,0.62168,0.59802,0.42837,1.21417,1.50106,1.34377,0.0001019,0.0001019,0.0001019
68,8377.82,0.99679,1.10915,1.18511,0.52839,0.57864,0.58978,0.41843,1.20915,1.48227,1.34121,9.89898e-05,9.89898e-05,9.89898e-05
69,8494.3,0.97929,1.0715,1.18064,0.62112,0.64685,0.62119,0.44777,1.21414,1.4723,1.3471,9.60792e-05,9.60792e-05,9.60792e-05
70,8610.09,0.97763,1.06269,1.17763,0.58429,0.58916,0.59807,0.42562,1.21832,1.47259,1.35295,9.31686e-05,9.31686e-05,9.31686e-05
71,8726.34,0.97565,1.07154,1.17284,0.54383,0.57721,0.59867,0.42442,1.20639,1.48287,1.3463,9.0258e-05,9.0258e-05,9.0258e-05
