epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.558,0.92171,1.25115,1.14821,0.54557,0.52723,0.50845,0.34308,1.29906,2.00901,1.40618,9.77216e-05,9.77216e-05,9.77216e-05
2,327.698,0.93989,1.30301,1.16517,0.4411,0.51096,0.4737,0.32401,1.27185,2.256,1.39939,0.000190877,0.000190877,0.000190877
3,489.105,0.96323,1.34349,1.17355,0.36794,0.42384,0.37086,0.2502,1.32664,2.44147,1.44012,0.000279182,0.000279182,0.000279182
4,650.552,0.97247,1.31096,1.17994,0.51063,0.44833,0.46197,0.3187,1.28025,2.06226,1.41636,0.000272171,0.000272171,0.000272171
5,812.077,0.97059,1.27235,1.18401,0.49401,0.44268,0.4496,0.29585,1.35579,1.98401,1.47066,0.000264894,0.000264894,0.000264894
6,971.485,0.94941,1.22361,1.16638,0.47556,0.47785,0.44715,0.30306,1.29738,2.01243,1.41854,0.000257617,0.000257617,0.000257617
7,1130.54,0.93877,1.16273,1.15346,0.42719,0.55864,0.46397,0.30893,1.30662,2.21217,1.42891,0.000250341,0.000250341,0.000250341
8,1289.52,0.92718,1.11813,1.14697,0.37057,0.52924,0.42988,0.28175,1.32528,2.036,1.42626,0.000243064,0.000243064,0.000243064
9,1448.92,0.91811,1.06284,1.13679,0.52747,0.48013,0.50291,0.33499,1.29325,1.91586,1.43461,0.000235788,0.000235788,0.000235788
10,1608,0.90621,1.00391,1.13166,0.44966,0.46578,0.44977,0.30614,1.33012,2.04103,1.43869,0.000228511,0.000228511,0.000228511
11,1767.43,0.89377,0.95285,1.12047,0.47589,0.518,0.47124,0.31067,1.33145,2.0283,1.43744,0.000221235,0.000221235,0.000221235
12,1926.89,0.87312,0.92299,1.10828,0.47718,0.55678,0.52199,0.34973,1.32094,2.08493,1.44506,0.000213958,0.000213958,0.000213958
13,2183.5,0.86131,0.88499,1.09763,0.53662,0.49265,0.50617,0.33803,1.33071,1.92202,1.46985,0.000206682,0.000206682,0.000206682
14,2344.72,0.83841,0.85881,1.08887,0.4176,0.53322,0.46156,0.30626,1.33412,1.92294,1.46366,0.000199406,0.000199406,0.000199406
15,2505.86,0.83586,0.83056,1.07792,0.47314,0.51464,0.49182,0.32479,1.33243,1.95719,1.45938,0.000192129,0.000192129,0.000192129
16,2667.27,0.81988,0.80427,1.07059,0.46075,0.47608,0.48456,0.34037,1.28587,1.96542,1.42599,0.000184853,0.000184853,0.000184853
17,2827.05,0.80996,0.76081,1.06378,0.45658,0.516,0.4509,0.30287,1.32569,1.91008,1.45862,0.000177576,0.000177576,0.000177576
18,2986.25,0.79696,0.75339,1.05594,0.53242,0.43621,0.49576,0.34243,1.30589,2.02726,1.44039,0.000170299,0.000170299,0.000170299
19,3145.6,0.78577,0.71881,1.04598,0.41249,0.62235,0.49276,0.32148,1.33421,1.97851,1.45966,0.000163023,0.000163023,0.000163023
20,3304.93,0.7713,0.6991,1.04196,0.505,0.53895,0.49643,0.33134,1.30111,1.98727,1.44627,0.000155747,0.000155747,0.000155747
21,3464.43,0.76141,0.67698,1.03384,0.46249,0.56728,0.53642,0.36097,1.28726,1.88301,1.43389,0.00014847,0.00014847,0.00014847
22,3623.53,0.74218,0.65528,1.02246,0.52077,0.55882,0.52881,0.35674,1.31223,1.93794,1.45598,0.000141193,0.000141193,0.000141193
23,3787.3,0.73504,0.63499,1.01817,0.4588,0.57667,0.53138,0.35247,1.29875,1.90631,1.44994,0.000133917,0.000133917,0.000133917
24,3948.24,0.72,0.61693,1.00658,0.46619,0.54146,0.50979,0.33395,1.336,1.91816,1.47006,0.000126641,0.000126641,0.000126641
25,4109.04,0.71177,0.60354,1.00419,0.4803,0.55924,0.48857,0.32143,1.33705,2.00536,1.46756,0.000119364,0.000119364,0.000119364
26,4271.33,0.69556,0.58751,0.99154,0.52307,0.4871,0.48723,0.33455,1.31684,2.09868,1.471,0.000112087,0.000112087,0.000112087
27,4445.66,0.68578,0.57994,0.98783,0.52548,0.47949,0.51409,0.35166,1.32497,1.96188,1.48108,0.000104811,0.000104811,0.000104811
28,4619.98,0.66804,0.55318,0.97962,0.53019,0.51642,0.51862,0.35079,1.31083,1.95145,1.47102,9.75345e-05,9.75345e-05,9.75345e-05
29,4792.53,0.66231,0.5495,0.9771,0.55586,0.54572,0.55242,0.37199,1.31308,1.96887,1.47667,9.0258e-05,9.0258e-05,9.0258e-05
30,4964.47,0.65249,0.54414,0.97052,0.55954,0.54075,0.52144,0.34856,1.30906,1.88852,1.47538,8.29815e-05,8.29815e-05,8.29815e-05
31,5136.77,0.64611,0.53884,0.96805,0.5828,0.51046,0.53009,0.3597,1.32305,1.91618,1.47874,7.5705e-05,7.5705e-05,7.5705e-05
32,5308.86,0.63443,0.52147,0.96105,0.53079,0.56265,0.52917,0.36267,1.33773,1.95209,1.49723,6.84285e-05,6.84285e-05,6.84285e-05
33,5480.81,0.62634,0.51184,0.95726,0.55385,0.50593,0.52325,0.35379,1.295,1.96807,1.46562,6.1152e-05,6.1152e-05,6.1152e-05
34,5653.02,0.62103,0.51016,0.95054,0.4891,0.56211,0.53636,0.35696,1.30798,1.9222,1.47923,5.38755e-05,5.38755e-05,5.38755e-05
35,5824.83,0.60812,0.49816,0.94897,0.52625,0.5552,0.52998,0.35984,1.32703,1.92957,1.50006,4.6599e-05,4.6599e-05,4.6599e-05
36,5996.93,0.60326,0.48885,0.94561,0.54432,0.54722,0.54383,0.3718,1.31157,1.92662,1.48677,3.93225e-05,3.93225e-05,3.93225e-05
37,6173.72,0.60014,0.484,0.94134,0.49136,0.57148,0.50695,0.34452,1.31702,2.01449,1.49608,3.2046e-05,3.2046e-05,3.2046e-05
38,6345.34,0.57952,0.47272,0.93247,0.51289,0.57839,0.5344,0.36234,1.30925,1.9057,1.49195,2.47695e-05,2.47695e-05,2.47695e-05
39,6508.19,0.58218,0.48399,0.93532,0.55828,0.54269,0.54416,0.37099,1.3135,1.96083,1.49084,1.7493e-05,1.7493e-05,1.7493e-05
40,6668.56,0.57393,0.46227,0.93003,0.53505,0.55313,0.54383,0.37128,1.30856,1.95799,1.4902,1.02165e-05,1.02165e-05,1.02165e-05
