epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4829.89,0.75165,0.56485,1.10272,0.50452,0.5761,0.53917,0.38042,1.29429,1.64213,1.63605,0.00013902,0.00013902,0.00013902
43,4944.89,0.73658,0.53985,1.09345,0.58345,0.49411,0.54628,0.3768,1.29798,1.69337,1.65754,0.00013524,0.00013524,0.00013524
44,5057.18,0.72406,0.51103,1.08352,0.57831,0.55136,0.58234,0.41304,1.27579,1.62536,1.62497,0.00013146,0.00013146,0.00013146
45,5180.56,0.70824,0.50027,1.07797,0.50096,0.49338,0.49622,0.34292,1.32315,1.7931,1.6735,0.00012768,0.00012768,0.00012768
46,5294.31,0.70407,0.4886,1.06969,0.57644,0.56637,0.60049,0.42686,1.30681,1.67749,1.67322,0.0001239,0.0001239,0.0001239
47,5415,0.68126,0.47077,1.0547,0.5898,0.59668,0.60271,0.42455,1.28992,1.623,1.66794,0.00012012,0.00012012,0.00012012
48,5527.87,0.67893,0.46518,1.04538,0.53497,0.60045,0.58495,0.41614,1.30541,1.79931,1.66859,0.00011634,0.00011634,0.00011634
49,5641.59,0.65749,0.43563,1.03713,0.5068,0.59422,0.55091,0.38545,1.29423,1.74682,1.66966,0.00011256,0.00011256,0.00011256
50,5753.3,0.64942,0.4177,1.02844,0.58537,0.53809,0.55808,0.38899,1.30094,1.76799,1.68128,0.00010878,0.00010878,0.00010878
51,5867.64,0.64059,0.40851,1.02423,0.59856,0.55129,0.58059,0.41176,1.27372,1.7165,1.65103,0.000105,0.000105,0.000105
52,5980.5,0.62167,0.39948,1.01475,0.58055,0.59838,0.58092,0.40695,1.31143,1.75806,1.69351,0.00010122,0.00010122,0.00010122
53,6094.62,0.6199,0.39435,1.00715,0.54759,0.58731,0.58523,0.41999,1.28602,1.72713,1.67927,9.744e-05,9.744e-05,9.744e-05
54,6210.22,0.59899,0.3796,0.99577,0.52035,0.58677,0.57053,0.4007,1.31043,1.79189,1.72012,9.366e-05,9.366e-05,9.366e-05
55,6317.34,0.58834,0.3822,0.98792,0.58183,0.5379,0.56756,0.39966,1.29447,1.78531,1.72619,8.988e-05,8.988e-05,8.988e-05
56,6432.43,0.57208,0.36266,0.97723,0.56962,0.49473,0.55571,0.39461,1.29485,1.80855,1.71367,8.61e-05,8.61e-05,8.61e-05
57,6547.34,0.56637,0.35883,0.97368,0.54404,0.56638,0.57828,0.41099,1.27476,1.79873,1.71229,8.232e-05,8.232e-05,8.232e-05
58,6660.85,0.54839,0.34946,0.96448,0.50033,0.64134,0.60319,0.42669,1.27582,1.73519,1.70802,7.854e-05,7.854e-05,7.854e-05
59,6774.72,0.53967,0.33672,0.95404,0.60343,0.50683,0.576,0.40525,1.27681,1.7964,1.72996,7.476e-05,7.476e-05,7.476e-05
60,6889.56,0.5256,0.32757,0.94854,0.55084,0.55533,0.57377,0.41052,1.28535,1.81962,1.72801,7.098e-05,7.098e-05,7.098e-05
61,7001.28,0.52187,0.32837,0.94172,0.585,0.59833,0.59,0.41595,1.29418,1.75463,1.75925,6.72e-05,6.72e-05,6.72e-05
62,7113.68,0.51028,0.32169,0.93978,0.53374,0.61221,0.58094,0.41528,1.2775,1.78468,1.71568,6.342e-05,6.342e-05,6.342e-05
63,7226.46,0.49573,0.31366,0.92992,0.51642,0.59253,0.56132,0.40368,1.28757,1.88378,1.75352,5.964e-05,5.964e-05,5.964e-05
