epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2143.91,0.92294,0.83472,1.15055,0.53884,0.65902,0.63308,0.46325,1.22926,1.38725,1.43323,0.000174665,0.000174665,0.000174665
43,2192.67,0.92557,0.81232,1.14999,0.54467,0.65637,0.64697,0.48164,1.23805,1.46574,1.41386,0.000171755,0.000171755,0.000171755
44,2241.84,0.91211,0.80978,1.13982,0.5172,0.62387,0.60112,0.44901,1.23407,1.47532,1.42394,0.000168844,0.000168844,0.000168844
45,2290.85,0.9059,0.79119,1.14048,0.56641,0.63854,0.64077,0.47795,1.2216,1.45255,1.41595,0.000165934,0.000165934,0.000165934
46,2339.19,0.89638,0.75812,1.13582,0.6041,0.6267,0.65854,0.48203,1.23047,1.34396,1.41886,0.000163023,0.000163023,0.000163023
47,2388.08,0.88895,0.77307,1.1344,0.59071,0.62765,0.63617,0.47564,1.22377,1.43123,1.41763,0.000160112,0.000160112,0.000160112
48,2436.85,0.88518,0.73358,1.11769,0.57633,0.66683,0.64053,0.47598,1.22256,1.43403,1.42038,0.000157202,0.000157202,0.000157202
49,2486.04,0.87852,0.7491,1.1174,0.586,0.63524,0.64866,0.47821,1.25142,1.37756,1.44019,0.000154291,0.000154291,0.000154291
50,2534.04,0.87053,0.73511,1.11097,0.50958,0.68343,0.61452,0.45979,1.23138,1.54686,1.40943,0.000151381,0.000151381,0.000151381
51,2582.5,0.84905,0.71309,1.10532,0.61916,0.60391,0.63092,0.47036,1.22274,1.45403,1.42897,0.00014847,0.00014847,0.00014847
52,2631.58,0.84326,0.70856,1.1059,0.65153,0.5677,0.62557,0.46341,1.24259,1.42394,1.42209,0.000145559,0.000145559,0.000145559
53,2679.74,0.85113,0.70704,1.10529,0.64037,0.58844,0.65399,0.47658,1.25304,1.41847,1.46225,0.000142649,0.000142649,0.000142649
54,2728.53,0.83881,0.70743,1.09596,0.57428,0.63409,0.64377,0.48043,1.2429,1.49184,1.4576,0.000139738,0.000139738,0.000139738
55,2777.39,0.82024,0.67298,1.09423,0.57084,0.67066,0.66239,0.49142,1.23165,1.44957,1.44638,0.000136828,0.000136828,0.000136828
