epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6959.66,0.71544,0.57184,0.99555,0.51888,0.47027,0.48512,0.33013,1.34217,2.00131,1.45573,0.00013902,0.00013902,0.00013902
43,7118.44,0.70969,0.5579,0.99562,0.52853,0.46049,0.50326,0.34011,1.34792,1.98223,1.45882,0.00013524,0.00013524,0.00013524
44,7279.87,0.69767,0.5406,0.98358,0.53535,0.472,0.49133,0.33689,1.32106,1.94717,1.44437,0.00013146,0.00013146,0.00013146
45,7447.8,0.68404,0.52598,0.97986,0.46587,0.46852,0.47517,0.32073,1.32985,1.99275,1.46808,0.00012768,0.00012768,0.00012768
46,7615.87,0.67642,0.52663,0.97808,0.48317,0.53668,0.49534,0.3353,1.31354,1.95054,1.45885,0.0001239,0.0001239,0.0001239
47,7782.35,0.67001,0.51145,0.97223,0.45716,0.52574,0.49764,0.34069,1.32087,1.99341,1.45497,0.00012012,0.00012012,0.00012012
48,7953.66,0.65958,0.49919,0.96578,0.50831,0.5465,0.49435,0.33773,1.32577,2.07376,1.46459,0.00011634,0.00011634,0.00011634
49,8122.26,0.6515,0.49792,0.96442,0.53108,0.46779,0.49605,0.33891,1.32201,2.00329,1.46353,0.00011256,0.00011256,0.00011256
50,8284.4,0.64427,0.49485,0.96043,0.515,0.51137,0.49008,0.33355,1.3516,2.06994,1.48934,0.00010878,0.00010878,0.00010878
51,8451.95,0.63584,0.47285,0.95428,0.52932,0.52602,0.49107,0.33389,1.32518,1.98797,1.46576,0.000105,0.000105,0.000105
52,8615.23,0.62064,0.46205,0.94663,0.50499,0.50129,0.49009,0.33804,1.32591,2.00478,1.47909,0.00010122,0.00010122,0.00010122
53,8780.02,0.61534,0.45678,0.94545,0.48563,0.52967,0.50175,0.34284,1.32882,2.01692,1.48421,9.744e-05,9.744e-05,9.744e-05
54,8945.7,0.61569,0.45792,0.94323,0.46963,0.52015,0.49934,0.34429,1.33063,2.04644,1.48444,9.366e-05,9.366e-05,9.366e-05
55,9112.79,0.60616,0.44521,0.93681,0.5104,0.53807,0.50451,0.34156,1.33393,2.00654,1.48977,8.988e-05,8.988e-05,8.988e-05
56,9282.11,0.59783,0.43798,0.93343,0.46382,0.57471,0.49494,0.33761,1.33152,1.99702,1.48546,8.61e-05,8.61e-05,8.61e-05
57,9453.52,0.59153,0.43139,0.92959,0.50689,0.54138,0.4933,0.33921,1.32732,2.00899,1.48876,8.232e-05,8.232e-05,8.232e-05
